tool_id,tool_title,paper_title,pubmed_url
879475e6-c021-49f9-be1e-c0dc7e73ed99,"Hot Bath Therapy","[Study on drug properties of Arisaematis Rhizoma and Arisaema Cum Bile based on substance and energy metabolism in normal and cold/heat syndrome model rats].",https://pubmed.ncbi.nlm.nih.gov/36164875/
d3da8e63-05bb-4ad2-b236-5019aa4ea8ab,"Personalized Caffeine Dosing","International society of sports nutrition position stand: energy drinks and energy shots.",https://pubmed.ncbi.nlm.nih.gov/36862943/
624c1e30-d1da-49d4-955b-c58dd8a52377,"Strategic Caffeine Timing","International society of sports nutrition position stand: tactical athlete nutrition.",https://pubmed.ncbi.nlm.nih.gov/35813846/
61875527-c527-4e95-9766-4374822aae5b,"Optimize Workspace Lighting","The vision of dreams: from ontogeny to dream engineering in blindness.",https://pubmed.ncbi.nlm.nih.gov/35499135/
b6f2db01-9c1f-41d5-b910-f3091eaedc8c,"Alpha-GPC for Acetylcholine","Enzymatic preparation of food-grade l-α-glycerylphosphorylcholine from soy phosphatidylcholine or fractionated soy lecithin.",https://pubmed.ncbi.nlm.nih.gov/31513729/
4ad98769-7969-49f6-993f-9ca3954751ca,"Tryptophan for Serotonin Balance","[Egg components involved in cognitive function].",https://pubmed.ncbi.nlm.nih.gov/39279756/
5f704896-bf3d-46b4-97af-23fa3826ad98,"Dim Evening Lighting","Evening wear of blue-blocking glasses for sleep and mood disorders: a systematic review.",https://pubmed.ncbi.nlm.nih.gov/34030534/
796b250f-a1ac-48aa-9637-7700ba6d905c,"Screen Time Minimization","Digital Eye Strain- A Comprehensive Review.",https://pubmed.ncbi.nlm.nih.gov/35809192/
57eb370e-1451-419a-bf36-7885ffbf0f32,"Phosphatidylserine for Cortisol Control","Cutaneous Permeation of a Percutaneously Applied Glucocorticoid Using Plant-Based Anionic Phospholipids in Hydrogenated Vegetable Oil: A Preliminary Study.",https://pubmed.ncbi.nlm.nih.gov/36295495/
b3527d26-d098-4ee0-bf70-18b809c5268f,"Morning Sunlight Viewing","Chronobiology and chronotherapy in medicine.",https://pubmed.ncbi.nlm.nih.gov/7628291/
880dce09-b88d-463f-9d6f-e982ff700c9d,"Evening Light Dimming","A randomized controlled trial to assess if changing sleep timing can improve glucose metabolism in people with prediabetes and type 2 diabetes.",https://pubmed.ncbi.nlm.nih.gov/38997765/
2b11da60-eb11-4d55-b57d-4f51004fd49e,"Red Light Protocol","Recovery Methods in Basketball: A Systematic Review.",https://pubmed.ncbi.nlm.nih.gov/37999447/
efa148b7-8894-4afe-a7ed-777c93c212e2,"Personalized Caffeine Dosing","International society of sports nutrition position stand: energy drinks and energy shots.",https://pubmed.ncbi.nlm.nih.gov/36862943/
a36e7465-f306-4a8c-a0ff-edd3200c25a1,"Strategic Caffeine Timing","International society of sports nutrition position stand: tactical athlete nutrition.",https://pubmed.ncbi.nlm.nih.gov/35813846/
0e2a902e-73b3-418f-8f72-13d946d85c5d,"Strategic Caffeine Use","International society of sports nutrition position stand: tactical athlete nutrition.",https://pubmed.ncbi.nlm.nih.gov/35813846/
492728bd-abc9-4682-8334-3f1724159ed3,"Strategic Caffeine Use","International society of sports nutrition position stand: tactical athlete nutrition.",https://pubmed.ncbi.nlm.nih.gov/35813846/
c3c757a4-d8a1-4a5b-bb54-d37858bd44aa,"Priority Goal Selection","Evaluation of a large-scale weight management program using the consolidated framework for implementation research (CFIR).",https://pubmed.ncbi.nlm.nih.gov/23663819/
cac58f3e-74ee-431e-8a43-53110e6efa5b,"Lofty Goal Setting","Turning great strategy into great performance.",https://pubmed.ncbi.nlm.nih.gov/16028817/
aebe8663-6766-4bd4-bb4d-f919131324c5,"Specific Action Step Definition","25th Annual Computational Neuroscience Meeting: CNS-2016.",https://pubmed.ncbi.nlm.nih.gov/27534393/
8165a306-42d3-421c-8769-01f25002aa99,"Magnesium for Stress Relief","The Role of Lifestyle and Diet in the Treatment of Endometriosis: A Review.",https://pubmed.ncbi.nlm.nih.gov/41515258/
b3624558-3d08-4a43-b439-2d2ab1a1d278,"Regular Blood Level Monitoring","Immune Thrombotic Thrombocytopenic Purpura: A Review.",https://pubmed.ncbi.nlm.nih.gov/40388146/
e314eb3a-3620-4fef-b25c-8f476cd375e7,"Evening Carbohydrate Timing","Effects of Shift Work on the Eating Behavior of Police Officers on Patrol.",https://pubmed.ncbi.nlm.nih.gov/32260404/
602043ba-ae23-4ac3-898e-1b511b55ff5d,"Mindful Eating Practices","Self-Care in Nurses.",https://pubmed.ncbi.nlm.nih.gov/35431686/
9f343699-58de-4b7a-8a42-724feeee1c80,"Limit Alcohol and Excessive Caffeine","COL1A1- and COL1A2-Related Osteogenesis Imperfecta.",https://pubmed.ncbi.nlm.nih.gov/20301472/
b86bc367-68f5-4421-85f5-5434f36398ce,"Visual Target Focusing","The emerging field of non-invasive brain stimulation in Alzheimer's disease.",https://pubmed.ncbi.nlm.nih.gov/39562009/
5fa19535-f019-4c8d-9ff7-3b013242fb0e,"Ultradian Cycle Work Sessions","Sleepy Psychotherapists: How Clinicians' Biological Factors May Affect the Conduct of Psychotherapy.",https://pubmed.ncbi.nlm.nih.gov/33715396/
d0e8059b-965f-4f8c-afa0-93b31510ed8f,"Fasted Cold Exposure","Intermittent living; the use of ancient challenges as a vaccine against the deleterious effects of modern life - A hypothesis.",https://pubmed.ncbi.nlm.nih.gov/30220336/
6d2b1df8-0f44-44b0-9948-1c45a7162014,"Optimize Lighting Position","Recommendations for daytime, evening, and nighttime indoor light exposure to best support physiology, sleep, and wakefulness in healthy adults.",https://pubmed.ncbi.nlm.nih.gov/35298459/
67540039-26cd-4b0e-ae4f-b89cbae4ed95,"Manage Caffeine Timing","International society of sports nutrition position stand: nutritional concerns of the female athlete.",https://pubmed.ncbi.nlm.nih.gov/37221858/
10b7a966-aa7d-4c75-ace5-44af73e8e4e7,"Avoid Alcohol During Stress","Proceedings of the 3rd IPLeiria's International Health Congress : Leiria, Portugal. 6-7 May 2016.",https://pubmed.ncbi.nlm.nih.gov/27409075/
3e675a7d-e48e-4a07-b2f0-731abdf9e47e,"Consistent Early Bedtime","Screen time and sleep among school-aged children and adolescents: a systematic literature review.",https://pubmed.ncbi.nlm.nih.gov/25193149/
5c350702-9ad9-439b-b1ee-39a26f365e97,"Temperature Drop Protocol","A post-exercise infrared sauna session improves recovery of neuromuscular performance and muscle soreness after resistance exercise training.",https://pubmed.ncbi.nlm.nih.gov/37398966/
