tool_id,tool_title,protocol_title,protocol_category,search_query,rank,pmid,paper_title,authors,journal,year,pubmed_url
5e68a6ce-f410-4e07-ad38-a2e979362b08,Caffeine Abstinence for Peak Performance,Boost Exercise Performance with Caffeine,exercise,Caffeine Abstinence for Peak Performance exercise physiology,1,16448890,Caffeine attenuates early post-exercise hypotension in middle-aged subjects.,"Notarius CF, Morris BL, Floras JS",American journal of hypertension,2006,https://pubmed.ncbi.nlm.nih.gov/16448890/
7edc4948-7932-48fe-ba42-977e0760f7a4,Pre-Exercise Caffeine Timing,Boost Exercise Performance with Caffeine,exercise,Pre-Exercise Caffeine Timing exercise physiology,1,33388079,International society of sports nutrition position stand: caffeine and exercise performance.,"Guest NS, VanDusseldorp TA, Nelson MT et al.",Journal of the International Society of Sports Nutrition,2021,https://pubmed.ncbi.nlm.nih.gov/33388079/
7edc4948-7932-48fe-ba42-977e0760f7a4,Pre-Exercise Caffeine Timing,Boost Exercise Performance with Caffeine,exercise,Pre-Exercise Caffeine Timing exercise physiology,2,28919842,International society of sports nutrition position stand: nutrient timing.,"Kerksick CM, Arent S, Schoenfeld BJ et al.",Journal of the International Society of Sports Nutrition,2017,https://pubmed.ncbi.nlm.nih.gov/28919842/
7edc4948-7932-48fe-ba42-977e0760f7a4,Pre-Exercise Caffeine Timing,Boost Exercise Performance with Caffeine,exercise,Pre-Exercise Caffeine Timing exercise physiology,3,24787031,"Pre-exercise nutrition: the role of macronutrients, modified starches and supplements on metabolism and endurance performance.","Ormsbee MJ, Bach CW, Baur DA",Nutrients,2014,https://pubmed.ncbi.nlm.nih.gov/24787031/
879475e6-c021-49f9-be1e-c0dc7e73ed99,Hot Bath Therapy,Heat Therapy Recovery Protocol,cold-heat,Hot Bath Therapy cold-heat,1,36164875,[Study on drug properties of Arisaematis Rhizoma and Arisaema Cum Bile based on substance and energy metabolism in normal and cold/heat syndrome model rats].,"Su FZ, Bai CX, Zhang WS et al.",Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,2022,https://pubmed.ncbi.nlm.nih.gov/36164875/
879475e6-c021-49f9-be1e-c0dc7e73ed99,Hot Bath Therapy,Heat Therapy Recovery Protocol,cold-heat,Hot Bath Therapy cold-heat,2,3133668,Comparison of three treatment procedures for minimizing ankle sprain swelling.,"Coté DJ, Prentice WE Jr, Hooker DN et al.",Physical therapy,1988,https://pubmed.ncbi.nlm.nih.gov/3133668/
d3da8e63-05bb-4ad2-b236-5019aa4ea8ab,Personalized Caffeine Dosing,Enhance Mental Performance with Caffeine,focus,Personalized Caffeine Dosing cognitive performance,1,36862943,International society of sports nutrition position stand: energy drinks and energy shots.,"Jagim AR, Harty PS, Tinsley GM et al.",Journal of the International Society of Sports Nutrition,2023,https://pubmed.ncbi.nlm.nih.gov/36862943/
d3da8e63-05bb-4ad2-b236-5019aa4ea8ab,Personalized Caffeine Dosing,Enhance Mental Performance with Caffeine,focus,Personalized Caffeine Dosing cognitive performance,2,33668219,"Energy Drinks and Sports Performance, Cardiovascular Risk, and Genetic Associations; Future Prospects.","Gutiérrez-Hellín J, Varillas-Delgado D",Nutrients,2021,https://pubmed.ncbi.nlm.nih.gov/33668219/
d3da8e63-05bb-4ad2-b236-5019aa4ea8ab,Personalized Caffeine Dosing,Enhance Mental Performance with Caffeine,focus,Personalized Caffeine Dosing cognitive performance,3,40693646,A caffeine and theacrine combination improves cognitive performance in tactical personnel under physically fatiguing conditions.,"Lints BS, Harrison AT, Stray-Gundersen SO et al.",Journal of the International Society of Sports Nutrition,2025,https://pubmed.ncbi.nlm.nih.gov/40693646/
624c1e30-d1da-49d4-955b-c58dd8a52377,Strategic Caffeine Timing,Enhance Mental Performance with Caffeine,focus,Strategic Caffeine Timing cognitive performance,1,35813846,International society of sports nutrition position stand: tactical athlete nutrition.,"Gonzalez DE, McAllister MJ, Waldman HS et al.",Journal of the International Society of Sports Nutrition,2022,https://pubmed.ncbi.nlm.nih.gov/35813846/
624c1e30-d1da-49d4-955b-c58dd8a52377,Strategic Caffeine Timing,Enhance Mental Performance with Caffeine,focus,Strategic Caffeine Timing cognitive performance,2,41092928,"Global burden of 292 causes of death in 204 countries and territories and 660 subnational locations, 1990-2023: a systematic analysis for the Global Burden of Disease Study 2023.",GBD 2023 Causes of Death Collaborators,"Lancet (London, England)",2025,https://pubmed.ncbi.nlm.nih.gov/41092928/
624c1e30-d1da-49d4-955b-c58dd8a52377,Strategic Caffeine Timing,Enhance Mental Performance with Caffeine,focus,Strategic Caffeine Timing cognitive performance,3,41092927,"Global age-sex-specific all-cause mortality and life expectancy estimates for 204 countries and territories and 660 subnational locations, 1950-2023: a demographic analysis for the Global Burden of Disease Study 2023.",GBD 2023 Demographics Collaborators,"Lancet (London, England)",2025,https://pubmed.ncbi.nlm.nih.gov/41092927/
61875527-c527-4e95-9766-4374822aae5b,Optimize Workspace Lighting,Workspace Optimization for Focus,focus,Optimize Workspace Lighting cognitive performance,1,35499135,The vision of dreams: from ontogeny to dream engineering in blindness.,"Vitali H, Campus C, De Giorgis V et al.",Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,2022,https://pubmed.ncbi.nlm.nih.gov/35499135/
74663586-8efa-440c-a1e3-ca09811c2cae,Physiological Sighs,Acute Stress Control Protocol,stress,Physiological Sighs stress management,1,36630953,Brief structured respiration practices enhance mood and reduce physiological arousal.,"Balban MY, Neri E, Kogon MM et al.",Cell reports. Medicine,2023,https://pubmed.ncbi.nlm.nih.gov/36630953/
98129557-bd2d-4067-8a45-c8b9b92234f8,Stress-Is-Enhancing Mindset,Acute Stress Control Protocol,stress,Stress-Is-Enhancing Mindset stress management,1,28120622,"The role of stress mindset in shaping cognitive, emotional, and physiological responses to challenging and threatening stress.","Crum AJ, Akinola M, Martin A et al.","Anxiety, stress, and coping",2017,https://pubmed.ncbi.nlm.nih.gov/28120622/
98129557-bd2d-4067-8a45-c8b9b92234f8,Stress-Is-Enhancing Mindset,Acute Stress Control Protocol,stress,Stress-Is-Enhancing Mindset stress management,2,40355837,The association between a stress-is-enhancing mindset and internet gaming disorder was mediated by behavioral disengagement among medical undergraduate students: a multi-center survey in China.,"Xiang H, Liu L, Su X et al.",BMC psychiatry,2025,https://pubmed.ncbi.nlm.nih.gov/40355837/
98129557-bd2d-4067-8a45-c8b9b92234f8,Stress-Is-Enhancing Mindset,Acute Stress Control Protocol,stress,Stress-Is-Enhancing Mindset stress management,3,39255377,Can the stress be managed? Stress mindset as a mitigating factor in the influence of job demands on burnout.,"Zhou Y, Jin T, Zhang L",Nursing open,2024,https://pubmed.ncbi.nlm.nih.gov/39255377/
b6f2db01-9c1f-41d5-b910-f3091eaedc8c,Alpha-GPC for Acetylcholine,Optimize Neuromodulators for Performance,focus,Alpha-GPC for Acetylcholine cognitive performance,1,31513729,Enzymatic preparation of food-grade l-α-glycerylphosphorylcholine from soy phosphatidylcholine or fractionated soy lecithin.,"Kim J, Song Y, Lee SJ et al.",Biotechnology progress,2020,https://pubmed.ncbi.nlm.nih.gov/31513729/
